index,date,orbit,acceleration,pressure,tempreture,altitude,angleX,angleY,angleZ,lat,lang,ldr1,ldr2,ldr3,ldr4
217,03/09/2022-19.48.13,3,-436,100554,28.6,63.97,-3,4,80,-2,-2,99,99,247,126
216,03/09/2022-19.48.08,2,108,100561,28.6,63.22,0,5,79,-2,-2,96,96,248,126
215,03/09/2022-19.48.05,2,-216,100569,28.6,63.05,-2,5,79,-2,-2,97,97,249,125
214,03/09/2022-19.47.59,2,-188,100565,28.6,63.3,-1,5,80,-2,-2,93,93,248,122
213,03/09/2022-19.47.56,2,-244,100565,28.6,63.81,-2,4,80,-2,-2,96,96,248,124
212,03/09/2022-19.47.51,2,-392,100559,28.6,64.14,-3,5,80,-2,-2,103,103,252,131
211,03/09/2022-19.47.47,2,-168,100560,28.6,64.31,-1,5,81,-2,-2,102,102,253,130
210,03/09/2022-19.47.44,2,-308,100557,28.6,64.14,-2,5,80,-2,-2,102,102,254,131
209,03/09/2022-19.47.39,1,-196,100555,28.6,64.14,-2,4,80,-2,-2,108,108,260,136
208,03/09/2022-19.47.36,1,-328,100548,28.6,64.39,-2,5,80,-2,-2,104,104,244,128
207,03/09/2022-19.47.30,1,-324,100560,28.6,63.72,-2,5,80,-2,-2,107,107,259,135
206,03/09/2022-19.47.27,1,-224,100553,28.5,64.31,-2,5,80,-2,-2,106,106,254,133
205,03/09/2022-19.47.24,1,-200,100559,28.5,63.97,-2,5,81,-2,-2,100,100,250,129
204,03/09/2022-19.47.18,1,-352,100562,28.6,63.64,-2,5,80,-2,-2,101,101,255,129
203,03/09/2022-19.47.15,1,-268,100559,28.6,63.97,-2,5,79,-2,-2,99,99,248,127
202,03/09/2022-19.47.12,1,-276,100560,28.6,64.06,-2,5,80,-2,-2,98,98,252,127
201,03/09/2022-19.46.18,1,-356,100559,28.5,64.47,-2,5,80,-2,-2,113,113,266,141
200,03/09/2022-19.46.15,1,-128,100551,28.6,64.14,-1,5,79,-2,-2,111,111,261,139
199,03/09/2022-19.46.12,1,-184,100558,28.6,63.97,-1,5,80,-2,-2,106,106,260,134
198,03/09/2022-19.46.08,1,-256,100564,28.6,63.47,-2,4,81,-2,-2,103,103,254,131
197,03/09/2022-19.44.19,1,-252,100557,28.8,64.14,-2,5,80,-2,-2,107,107,254,135
196,03/09/2022-19.44.16,1,-396,100561,28.8,63.39,-3,5,81,-2,-2,113,113,266,140
195,03/09/2022-19.43.46,1,-224,100556,28.8,64.22,-2,5,80,-2,-2,111,111,259,139
194,03/09/2022-19.43.43,1,-292,100550,28.8,64.64,-2,5,80,-2,-2,119,119,270,146
193,03/09/2022-19.43.35,1,-236,100560,28.8,64.47,-2,5,80,-2,-2,117,117,264,144
192,03/09/2022-19.43.32,1,-308,100556,28.8,64.06,-2,5,79,-2,-2,114,114,260,141
191,03/09/2022-19.43.29,1,-312,100562,28.8,63.81,-2,5,80,-2,-2,116,116,266,143
190,03/09/2022-19.43.25,1,-192,100559,28.8,63.97,-2,5,80,-2,-2,118,118,270,145
189,03/09/2022-19.43.22,1,-380,100556,28.8,64.47,-3,4,79,-2,-2,119,119,272,136
188,03/09/2022-19.43.03,2,-276,100556,28.8,64.31,-2,4,80,-2,-2,115,115,265,142
187,03/09/2022-19.42.58,2,-156,100561,28.8,63.97,-1,5,79,-2,-2,112,112,264,140
186,03/09/2022-19.42.50,2,-244,100552,28.8,64.06,-2,5,81,-2,-2,111,111,262,138
185,03/09/2022-19.42.45,2,-284,100549,28.9,63.64,-2,6,80,-2,-2,115,115,268,142
184,03/09/2022-19.42.42,2,-228,100553,28.8,64.14,-2,5,79,-2,-2,112,112,259,139
183,03/09/2022-19.42.39,2,-276,100553,28.9,63.72,-2,4,79,-2,-2,115,115,267,143
182,03/09/2022-19.42.35,1,-288,100562,28.9,63.97,-2,5,81,-2,-2,112,112,264,140
181,03/09/2022-19.42.32,1,-196,100558,28.9,63.89,-2,5,79,-2,-2,107,107,260,135
180,03/09/2022-19.42.29,1,-220,100560,28.9,64.14,-2,5,80,-2,-2,112,112,257,140
179,03/09/2022-19.42.23,1,-284,100561,28.9,63.3,-2,5,80,-2,-2,115,115,263,142
178,03/09/2022-19.42.20,1,-256,100555,28.9,63.55,-2,5,80,-2,-2,114,114,261,141
177,03/09/2022-19.42.17,1,-308,100551,28.9,64.22,-2,5,80,-2,-2,113,113,259,139
176,03/09/2022-19.42.14,1,-140,100549,28.9,64.98,-1,5,79,-2,-2,107,107,256,135
